title,published,link,DOI,authors,content_type,abstract
An association between fingerprint patterns with blood group and lifestyle based diseases: a review,18 August 2020,/article/10.1007/s10462-020-09891-w,10.1007/s10462-020-09891-w,"Vijaykumar Patil, D. R. Ingle",Article,No abstract available for this DOI.
Special issue in memory of Carole Hafner: editor’s introduction,10 November 2016,/article/10.1007/s10506-016-9191-4,10.1007/s10506-016-9191-4,T. J. M. Bench-Capon,Article,No abstract available for this DOI.
Digital Innovation and Social Dilemmas,2014,https://link.springer.com/chapter/10.1007/978-3-662-43459-8_4,10.1007/978-3-662-43459-8_4,"Maria Åkesson, Michel Thomsen",Conference paper,No abstract available for this DOI.
Topological Operators on Cell Complexes in Arbitrary Dimensions,2012,https://link.springer.com/chapter/10.1007/978-3-642-30238-1_11,10.1007/978-3-642-30238-1_11,"Lidija Čomić, Leila De Floriani",Conference paper,No abstract available for this DOI.
"Bureaucracy, Safety and Software: a Potentially Lethal Cocktail",2010,https://link.springer.com/chapter/10.1007/978-1-84996-086-1_2,10.1007/978-1-84996-086-1_2,Les Hatton,Conference paper,No abstract available for this DOI.
E-Government Interoperability Framework: A Case Study in a Developing Country,2010,https://link.springer.com/chapter/10.1007/978-1-4419-6536-3_32,10.1007/978-1-4419-6536-3_32,"Pavel Shvaiko, Adolfo Villafiorita, ... Teotonio Fumo",Chapter,No abstract available for this DOI.
Distillation,2011,https://link.springer.com/chapter/10.1007/978-1-4419-7713-7_4,10.1007/978-1-4419-7713-7_4,"Radu Hans Florian, Joseph Olive, ... John McCary",Chapter,No abstract available for this DOI.
eGIF4M: eGovernment Interoperability Framework for Mozambique,2009,https://link.springer.com/chapter/10.1007/978-3-642-03516-6_28,10.1007/978-3-642-03516-6_28,"Pavel Shvaiko, Adolfo Villafiorita, ... Jussi Hinkkanen",Conference paper,No abstract available for this DOI.
A Methodology of Traffic Engineering to IP Backbone,2009,https://link.springer.com/chapter/10.1007/978-3-642-04968-2_16,10.1007/978-3-642-04968-2_16,"José E. Bessa Maia, Arnoldo N. da Silva, ... Paulo R. F. Cunha",Conference paper,No abstract available for this DOI.
"The Transmission of Pythagorean Arithmetic in the Context of the Ancient Musical Tradition from the Greek to the Latin Orbits During the Renaissance: A Computational Approach of Identifying and Analyzing the Formation of Scales in the De Harmonia Musicorum Instrumentorum Opus (Milan, 1518) of Franchino Gaffurio (1451–1522)",2009,https://link.springer.com/chapter/10.1007/978-3-642-04579-0_39,10.1007/978-3-642-04579-0_39,"Herbert Kreyszig, Walter Kreyszig",Conference paper,No abstract available for this DOI.
On Alternating Phrase-Structure Grammars,2008,https://link.springer.com/chapter/10.1007/978-3-540-88282-4_36,10.1007/978-3-540-88282-4_36,"Etsuro Moriya, Friedrich Otto",Conference paper,No abstract available for this DOI.
Implementing Flexible Parallelism for Modular Self-reconfigurable Robots,2008,https://link.springer.com/chapter/10.1007/978-3-540-89076-8_15,10.1007/978-3-540-89076-8_15,"Mirko Bordignon, Lars Lindegaard Mikkelsen, Ulrik Pagh Schultz",Conference paper,No abstract available for this DOI.
Measuring Core Inflation by Multivariate Structural Time Series Models,2007,https://link.springer.com/chapter/10.1007/3-540-36626-1_10,10.1007/3-540-36626-1_10,Tommaso Proietti,Conference paper,No abstract available for this DOI.
Towards a Digital Library for Language Learning,2006,https://link.springer.com/chapter/10.1007/11863878_29,10.1007/11863878_29,"Shaoqun Wu, Ian H. Witten",Conference paper,No abstract available for this DOI.
Determination of Storage Locations for Incoming Containers of Uncertain Weight,2006,https://link.springer.com/chapter/10.1007/11779568_123,10.1007/11779568_123,"Jaeho Kang, Kwang Ryel Ryu, Kap Hwan Kim",Conference paper,No abstract available for this DOI.
Safety Case Practice - Meet the Challenge,2006,https://link.springer.com/chapter/10.1007/1-84628-447-3_5,10.1007/1-84628-447-3_5,"Werner Winkelbauer, Gabriele Schedl, Andreas Gerstinger",Conference paper,No abstract available for this DOI.
The Offshoring Obstacle Course,2004,https://link.springer.com/chapter/10.1007/978-1-4302-0740-5_3,10.1007/978-1-4302-0740-5_3,Bill Blunden,Chapter,No abstract available for this DOI.
Intelligent Agents for Document Categorization and Adaptive Filtering Using a Neural Network Approach and Fuzzy Logic,2003,https://link.springer.com/chapter/10.1007/978-1-4757-3739-4_12,10.1007/978-1-4757-3739-4_12,Frank Teuteberg,Chapter,No abstract available for this DOI.
Machine vision for industrial applications,2001,https://link.springer.com/chapter/10.1007/978-1-4471-0239-7_1,10.1007/978-1-4471-0239-7_1,"Bruce Batchelor, Frederick Waltz",Chapter,No abstract available for this DOI.
Chip-To-Package Interconnections,1997,https://link.springer.com/chapter/10.1007/978-1-4615-6037-1_2,10.1007/978-1-4615-6037-1_2,"Paul A. Totta, Subash Khadpe, ... Michael J. Sheaffer",Chapter,No abstract available for this DOI.
Legal Case Analysis in IS Research: Failures in Employing and Outsourcing for IT Professionals,1997,https://link.springer.com/chapter/10.1007/978-0-387-35309-8_25,10.1007/978-0-387-35309-8_25,"S. Ang, A. Endeshaw",Chapter,No abstract available for this DOI.
High-speed tools for Global Information Management I. Information processing and retrieval,01 August 1996,/article/10.1007/BF02265087,10.1007/BF02265087,"Paul A. D. De Maine, Kenneth D. Bradley",Article,No abstract available for this DOI.
Inductive logic programming beyond logical implication,1996,https://link.springer.com/chapter/10.1007/3-540-61863-5_46,10.1007/3-540-61863-5_46,"Jianguo Lu, Jun Arima",Conference paper,No abstract available for this DOI.
Learning controllers for industrial robots,01 May 1996,/article/10.1007/BF00117445,10.1007/BF00117445,"C. Baroglio, A. Giordana, ... R. Piola",Article,No abstract available for this DOI.
Estimating test effectiveness with dynamic complexity measurement,01 January 1996,/article/10.1007/BF00127448,10.1007/BF00127448,"John C. Munson, Gregory A. Hall",Article,No abstract available for this DOI.
A skills-driven process for training computer professionals,1995,https://link.springer.com/chapter/10.1007/3-540-58951-1_119,10.1007/3-540-58951-1_119,"Sherrie Bayman, Maurice H. Blumberg, ... Cheryl Diallo",Conference paper,No abstract available for this DOI.
Fast parallel Lyndon factorization with applications,01 March 1995,/article/10.1007/BF01191471,10.1007/BF01191471,"A. Apostolico, M. Crochemore",Article,No abstract available for this DOI.
The effect of management structure on the performance of interconnected packet-switched networks,01 March 1993,/article/10.1007/BF01026826,10.1007/BF01026826,"Izhak Rubin, Teresa Cheng",Article,No abstract available for this DOI.
On the Computational Complexity of Approximating Distributions by Probabilistic Automata,01 July 1992,/article/10.1023/A:1022693116573,10.1023/A:1022693116573,"Naoki Abe, Manfred K. Warmuth",Article,No abstract available for this DOI.
Random Mapping Statistics,1990,https://link.springer.com/chapter/10.1007/3-540-46885-4_34,10.1007/3-540-46885-4_34,"Philippe Flajolet, Andrew M. Odlyzko",Conference paper,No abstract available for this DOI.
Scientometric datafiles. A comprehensive set of indicators on 2649 journals and 96 countries in all major science fields and subfields 1981–1985,01 June 1989,/article/10.1007/BF02093234,10.1007/BF02093234,"A. Schubert, W. Glänzel, T. Braun",Article,No abstract available for this DOI.
Performance Evaluation of a Database System in Multiple Backend Configurations,1985,https://link.springer.com/chapter/10.1007/978-1-4612-5144-6_5,10.1007/978-1-4612-5144-6_5,"Steven A. Demurjian, David K. Hsiao, ... Joel Trimble",Chapter,No abstract available for this DOI.
Transcript of panel discussion,1982,https://link.springer.com/chapter/10.1007/BFb0025794,10.1007/BFb0025794,,Conference paper,No abstract available for this DOI.
Lateralization of Emotional or Behavioral Responses in Intact and Hemisphere-Damaged Humans and Rats,1982,https://link.springer.com/chapter/10.1007/978-1-4684-7890-7_10,10.1007/978-1-4684-7890-7_10,"Godfrey D. Pearlson, Robert G. Robinson",Chapter,No abstract available for this DOI.
